Crimes Description,Borough,Count
PETIT LARCENY,BRONX,6250
PETIT LARCENY,BROOKLYN,9730
PETIT LARCENY,MANHATTAN,10144
PETIT LARCENY,QUEENS,6649
PETIT LARCENY,STATEN ISLAND,1418
POSSESSION OF STOLEN PROPERTY,BRONX,154
POSSESSION OF STOLEN PROPERTY,BROOKLYN,228
POSSESSION OF STOLEN PROPERTY,MANHATTAN,273
POSSESSION OF STOLEN PROPERTY,QUEENS,156
POSSESSION OF STOLEN PROPERTY,STATEN ISLAND,34
PROSTITUTION & RELATED OFFENSES,BRONX,21
PROSTITUTION & RELATED OFFENSES,BROOKLYN,15
PROSTITUTION & RELATED OFFENSES,MANHATTAN,3
PROSTITUTION & RELATED OFFENSES,QUEENS,3
RAPE,BRONX,155
RAPE,BROOKLYN,168
RAPE,MANHATTAN,142
RAPE,QUEENS,129
RAPE,STATEN ISLAND,21
ROBBERY,BRONX,2044
ROBBERY,BROOKLYN,2530
ROBBERY,MANHATTAN,1445
ROBBERY,QUEENS,1412
ROBBERY,STATEN ISLAND,179
SEX CRIMES,BRONX,461
SEX CRIMES,BROOKLYN,689
SEX CRIMES,MANHATTAN,721
SEX CRIMES,QUEENS,443
SEX CRIMES,STATEN ISLAND,86
THEFT OF SERVICES,BRONX,56
THEFT OF SERVICES,BROOKLYN,16
THEFT OF SERVICES,MANHATTAN,104
THEFT OF SERVICES,QUEENS,18
THEFT-FRAUD,BRONX,303
THEFT-FRAUD,BROOKLYN,515
THEFT-FRAUD,MANHATTAN,598
THEFT-FRAUD,QUEENS,352
THEFT-FRAUD,STATEN ISLAND,91
UNAUTHORIZED USE OF A VEHICLE,BRONX,94
UNAUTHORIZED USE OF A VEHICLE,BROOKLYN,198
UNAUTHORIZED USE OF A VEHICLE,MANHATTAN,72
UNAUTHORIZED USE OF A VEHICLE,QUEENS,273
UNAUTHORIZED USE OF A VEHICLE,STATEN ISLAND,64
UNLAWFUL POSS. WEAP. ON SCHOOL,MANHATTAN,1
VEHICLE AND TRAFFIC LAWS,BRONX,512
VEHICLE AND TRAFFIC LAWS,BROOKLYN,776
VEHICLE AND TRAFFIC LAWS,MANHATTAN,483
VEHICLE AND TRAFFIC LAWS,QUEENS,840
VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,79
